WL,CH1 IL,CH1 PDL,CH2 IL,CH2 PDL,CH3 IL,CH3 PDL,CH4 IL,CH4 PDL,
1260.000 ,6.58,0.33,37.59,0.44,51.69,1.80,47.84,6.24,
1260.012 ,6.57,0.32,37.55,0.30,52.16,1.90,47.85,6.41,
1260.024 ,6.55,0.30,37.49,0.20,51.85,2.69,47.86,5.49,
1260.036 ,6.53,0.28,37.47,0.28,51.53,3.00,47.84,4.53,
1260.048 ,6.51,0.26,37.47,0.34,51.75,1.57,48.13,6.09,
1260.060 ,6.50,0.25,37.49,0.44,52.41,1.76,48.11,4.81,
1260.072 ,6.48,0.23,37.52,0.56,53.02,1.34,48.38,5.34,
1260.084 ,6.47,0.21,37.51,0.60,53.48,1.32,48.63,6.18,
1260.096 ,6.45,0.21,37.46,0.78,52.57,0.70,48.39,5.64,
1260.108 ,6.43,0.20,37.39,0.82,52.18,2.37,48.31,5.40,
1260.120 ,6.42,0.19,37.39,0.83,52.21,1.26,48.53,7.13,
1260.132 ,6.41,0.19,37.41,0.88,51.95,2.38,48.60,9.28,
1260.144 ,6.39,0.18,37.41,0.99,51.81,1.85,48.34,5.25,
1260.156 ,6.38,0.18,37.44,1.08,51.40,1.56,48.73,5.58,
1260.168 ,6.37,0.18,37.49,1.40,50.63,2.12,48.55,5.06,
1260.180 ,6.36,0.18,37.56,1.77,50.79,1.81,48.52,6.19,
1260.192 ,6.35,0.18,37.60,2.01,50.81,1.96,48.52,7.45,
1260.204 ,6.33,0.18,37.55,2.13,50.99,3.64,48.61,7.21,
1260.216 ,6.32,0.18,37.47,2.05,50.68,1.80,48.80,6.89,
1260.228 ,6.31,0.18,37.40,1.91,50.35,2.68,48.80,6.34,
1260.240 ,6.30,0.18,37.27,1.67,50.66,3.34,48.91,5.92,
1260.252 ,6.29,0.18,37.20,1.48,50.62,2.69,49.00,6.35,
1260.264 ,6.28,0.18,37.16,1.54,50.92,1.83,48.89,6.13,
1260.276 ,6.28,0.18,37.15,1.52,50.71,3.01,48.94,5.07,
1260.288 ,6.28,0.18,37.20,1.70,50.27,3.61,49.03,6.12,
1260.300 ,6.27,0.18,37.23,1.76,50.79,4.54,48.94,6.97,
1260.312 ,6.26,0.18,37.23,1.86,50.73,4.02,48.89,6.17,
1260.324 ,6.26,0.18,37.20,1.83,50.86,3.42,48.72,6.39,
1260.336 ,6.25,0.17,37.16,1.68,51.17,4.43,48.77,6.46,
1260.348 ,6.25,0.17,37.10,1.50,51.93,2.51,48.91,7.02,
1260.360 ,6.24,0.17,36.99,1.25,51.54,1.53,48.54,5.65,
1260.372 ,6.23,0.16,36.97,1.20,52.15,2.67,48.84,7.57,
1260.384 ,6.22,0.15,36.98,1.13,52.45,3.59,48.94,4.96,
1260.396 ,6.22,0.14,36.98,1.17,52.58,2.72,48.91,5.95,
1260.408 ,6.21,0.14,36.99,1.28,52.97,2.56,48.91,6.86,
1260.420 ,6.20,0.13,37.00,1.44,52.99,1.44,49.14,6.26,
1260.432 ,6.20,0.13,37.00,1.47,53.18,2.90,49.32,5.80,
1260.444 ,6.20,0.12,36.97,1.47,52.59,1.87,49.45,8.32,
1260.456 ,6.19,0.13,36.95,1.37,52.35,1.95,49.42,8.55,
